Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
64, 10466, 193, 10273, 733
64, 10467, 193, 10274, 892
64, 10467, 193, 10274, 892
64, 10469, 193, 10276, 239
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10561, 193, 10368, 817
64, 10562, 193, 10369, 978
64, 10562, 193, 10369, 978
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10563, 193, 10370, 1140
64, 10564, 193, 10371, 1218
64, 10564, 193, 10371, 1218
64, 10564, 193, 10371, 1220
64, 10564, 193, 10371, 1220
64, 10564, 193, 10371, 1220
64, 10564, 193, 10371, 1220
64, 10564, 193, 10371, 1220
64, 10564, 193, 10371, 1220
64, 10564, 193, 10371, 1220
64, 10564, 193, 10371, 1220
64, 10564, 193, 10371, 1223
64, 10564, 193, 10371, 1223
64, 10565, 193, 10372, 1219
64, 10566, 193, 10373, 1380
64, 10567, 193, 10374, 1215
64, 10568, 193, 10375, 242
64, 10568, 193, 10375, 244
64, 10568, 193, 10375, 244
64, 10568, 193, 10375, 567
64, 10568, 193, 10375, 661
64, 10569, 193, 10376, 242
64, 10569, 193, 10376, 324
64, 10569, 193, 10376, 324
64, 10569, 193, 10376, 575
64, 10569, 193, 10376, 575
64, 10571, 193, 10378, 1389
64, 10770, 193, 10577, 999
64, 10770, 193, 10577, 999
64, 10770, 193, 10577, 999
64, 10771, 193, 10578, 418
64, 10772, 193, 10579, 1163
64, 10772, 193, 10579, 1163
64, 10772, 193, 10579, 1163
64, 10772, 193, 10579, 418
64, 10772, 193, 10579, 999
64, 10772, 193, 10579, 999
64, 10772, 193, 10579, 999
64, 10772, 193, 10579, 999
64, 10772, 193, 10579, 999
64, 10773, 193, 10580, 1409
64, 10773, 193, 10580, 1409
64, 10773, 193, 10580, 1409
64, 10773, 193, 10580, 752
64, 10773, 193, 10580, 752
64, 10773, 193, 10580, 752
64, 10773, 193, 10580, 753
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 755
64, 10773, 193, 10580, 756
64, 10773, 193, 10580, 756
64, 10773, 193, 10580, 757
64, 10774, 193, 10581, 588
64, 10774, 193, 10581, 917
64, 10774, 193, 10581, 917
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10774, 193, 10581, 920
64, 10775, 193, 10582, 1409
64, 10775, 193, 10582, 1493
64, 10775, 193, 10582, 1493
64, 10775, 193, 10582, 1493
64, 10775, 193, 10582, 1493
64, 10775, 193, 10582, 1493
64, 10775, 193, 10582, 1493
64, 10775, 193, 10582, 1493
64, 10775, 193, 10582, 333
64, 10775, 193, 10582, 333
64, 10775, 193, 10582, 333
64, 10775, 193, 10582, 333
64, 10775, 193, 10582, 333
64, 10775, 193, 10582, 333
64, 10775, 193, 10582, 333
64, 10775, 193, 10582, 333
64, 10775, 193, 10582, 333
64, 10776, 193, 10583, 250
64, 10776, 193, 10583, 678
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 836
64, 10776, 193, 10583, 838
64, 10777, 193, 10584, 250
64, 10777, 193, 10584, 675
64, 10778, 193, 10585, 759
64, 10778, 193, 10585, 759
64, 10779, 193, 10586, 1327
64, 10779, 193, 10586, 333
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 836
64, 10780, 193, 10587, 925
64, 10780, 193, 10587, 925
64, 10780, 193, 10587, 925
64, 10781, 193, 10588, 336
64, 10781, 193, 10588, 418
64, 10782, 193, 10589, 840
64, 10783, 193, 10590, 413
64, 10783, 193, 10590, 591
64, 10784, 193, 10591, 1395
64, 10791, 193, 10598, 673
64, 10882, 193, 10689, 1593
64, 10882, 193, 10689, 927
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10882, 193, 10689, 928
64, 10883, 193, 10690, 1010
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1011
64, 10883, 193, 10690, 1498
64, 10883, 193, 10690, 340
64, 10884, 193, 10691, 420
64, 10884, 193, 10691, 935
64, 10885, 193, 10692, 338
64, 10885, 193, 10692, 338
64, 10885, 193, 10692, 338
64, 10886, 193, 10693, 588
64, 10886, 193, 10693, 588
64, 10887, 193, 10694, 257
64, 10887, 193, 10694, 596
64, 10887, 193, 10694, 596
64, 10888, 193, 10695, 1260
64, 10888, 193, 10695, 1260
64, 10888, 193, 10695, 1260
64, 10888, 193, 10695, 1260
64, 10888, 193, 10695, 1260
64, 10888, 193, 10695, 1260
64, 10888, 193, 10695, 1260
