1	16 800 9769 143
2	16 808 9645 125
3	16 809 9685 113
4	16 812 9786 115
5	16 812 9805 172
6	16 814 9732 135
7	16 824 9764 133
8	16 833 9773 126
9	16 837 9689 126
10	16 839 9752 159
11	16 841 9430 72
12	16 844 9754 168
13	16 847 9528 166
14	16 847 9685 171
15	16 847 9706 130
16	16 848 9709 140
17	16 851 9598 145
18	16 851 9706 182
19	16 852 9535 148
20	16 852 9768 176
21	16 853 9659 159
22	16 854 9548 164
23	16 854 9644 158
24	16 854 9753 126
25	16 855 9618 161
26	16 855 9726 154
27	16 855 9782 151
28	16 856 9706 175
29	16 859 9471 134
30	16 859 9724 197
31	16 861 9538 156
32	16 861 9597 147
33	16 861 9619 166
34	16 861 9784 206
35	16 862 9500 188
36	16 862 9523 102
37	16 862 9721 88
38	16 863 9673 176
39	16 864 9581 138
40	16 864 9724 145
41	16 865 9508 140
42	16 865 9724 158
43	16 866 9571 178
44	16 866 9651 200
45	16 867 9490 138
46	16 867 9690 190
47	16 867 9724 133
48	16 869 9350 117
49	16 869 9756 158
50	16 870 9511 177
51	16 870 9575 153
52	16 870 9612 144
53	16 870 9773 224
54	16 871 9413 97
55	16 871 9558 176
56	16 871 9765 175
57	16 873 9479 149
58	16 874 9773 112
59	16 875 9551 201
60	16 875 9675 162
61	16 876 9510 129
62	16 877 9440 56
63	16 877 9642 174
64	16 878 9659 134
65	16 879 9310 134
66	16 879 9323 157
67	16 879 9474 193
68	16 879 9609 120
69	16 879 9629 163
70	16 881 9271 139
71	16 882 9324 123
72	16 883 9420 135
73	16 883 9639 126
74	16 883 9686 145
75	16 884 9402 60
76	16 884 9509 159
77	16 884 9811 128
78	16 885 9343 156
79	16 886 9257 118
80	16 886 9526 157
81	16 886 9529 148
82	16 886 9728 224
83	16 886 9736 184
84	16 887 9425 173
85	16 887 9492 174
86	16 887 9579 152
87	16 887 9639 143
88	16 888 9363 158
89	16 888 9601 204
90	16 888 9623 182
91	16 888 9668 115
92	16 889 9392 128
93	16 890 9395 88
94	16 890 9818 145
95	16 891 9702 131
96	16 892 9684 132
97	16 893 9281 148
98	16 893 9313 179
99	16 893 9514 171
100	16 893 9519 146
101	16 894 9409 78
102	16 894 9486 203
103	16 894 9562 120
104	16 894 9565 164
105	16 895 9337 86
106	16 895 9419 153
107	16 895 9484 130
108	16 895 9586 153
109	16 895 9610 190
110	16 895 9685 114
111	16 895 9689 210
112	16 896 9468 96
113	16 897 9274 105
114	16 897 9360 162
115	16 897 9539 122
116	16 897 9821 173
117	16 898 9477 192
118	16 899 9351 165
119	16 899 9484 199
120	16 899 9511 194
121	16 900 9564 182
122	16 901 9496 128
123	16 901 9579 134
124	16 902 9254 98
125	16 902 9255 119
126	16 902 9436 218
127	16 902 9625 136
128	16 903 9444 178
129	16 903 9474 169
130	16 904 9433 177
131	16 905 9505 188
132	16 906 9360 89
133	16 906 9571 106
134	16 907 9375 48
135	16 907 9425 124
136	16 907 9761 251
137	16 908 9325 141
138	16 908 9507 130
139	16 908 9535 70
140	16 909 9663 229
141	16 910 9591 125
142	16 911 9156 135
143	16 911 9546 150
144	16 911 9653 87
145	16 911 9662 188
146	16 912 9498 204
147	16 913 9258 153
148	16 913 9579 148
149	16 914 9460 146
150	16 915 9382 148
151	16 915 9490 161
152	16 916 9318 93
153	16 916 9550 165
154	16 917 9267 59
155	16 917 9429 224
156	16 917 9447 210
157	16 917 9571 171
158	16 917 9577 130
159	16 917 9684 146
160	16 918 9544 123
161	16 918 9554 166
162	16 918 9583 146
163	16 919 9211 152
164	16 919 9385 72
165	16 919 9504 127
166	16 919 9505 147
167	16 919 9686 232
168	16 919 9726 159
169	16 919 9737 141
170	16 920 9267 147
171	16 920 9488 189
172	16 921 9446 144
173	16 921 9551 176
174	16 921 9786 176
175	16 923 9684 198
176	16 923 9729 210
177	16 924 9340 126
178	16 924 9345 195
179	16 924 9405 140
180	16 924 9423 178
181	16 924 9559 114
182	16 924 9607 190
183	16 925 9256 189
184	16 925 9264 140
185	16 925 9316 157
186	16 925 9428 154
187	16 926 9267 137
188	16 926 9314 160
189	16 926 9422 168
190	16 926 9535 208
191	16 927 9249 156
