Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs, Valid_Ptrs
16, 10537, 928, 9609, 230
16, 10133, 930, 9203, 119
16, 10288, 930, 9358, 197
16, 10392, 930, 9462, 136
16, 10546, 930, 9616, 213
16, 10729, 930, 9799, 124
16, 10224, 931, 9293, 120
16, 10144, 932, 9212, 113
16, 10210, 932, 9278, 161
16, 10230, 932, 9298, 161
16, 10394, 932, 9462, 189
16, 10621, 932, 9689, 184
16, 10432, 933, 9499, 167
16, 10500, 933, 9567, 73
16, 10529, 933, 9596, 145
16, 10601, 933, 9668, 173
16, 10147, 934, 9213, 154
16, 10258, 934, 9324, 109
16, 10553, 934, 9619, 81
16, 10603, 934, 9669, 201
16, 10123, 935, 9188, 129
16, 10207, 935, 9272, 156
16, 10224, 935, 9289, 153
16, 10274, 935, 9339, 140
16, 10392, 935, 9457, 128
16, 10487, 935, 9552, 120
16, 10294, 936, 9358, 187
16, 10585, 936, 9649, 134
16, 10289, 937, 9352, 126
16, 10358, 937, 9421, 168
16, 10134, 938, 9196, 161
16, 10321, 938, 9383, 73
16, 10598, 938, 9660, 185
16, 10258, 939, 9319, 217
16, 10345, 939, 9406, 144
16, 10272, 940, 9332, 132
16, 10475, 940, 9535, 256
16, 10642, 940, 9702, 184
16, 10693, 940, 9753, 200
16, 10304, 941, 9363, 99
16, 10357, 941, 9416, 165
16, 10438, 942, 9496, 92
16, 10718, 942, 9776, 165
16, 10275, 943, 9332, 189
16, 10293, 943, 9350, 128
16, 10394, 943, 9451, 135
16, 10549, 943, 9606, 269
16, 10182, 944, 9238, 184
16, 10377, 944, 9433, 143
16, 10410, 944, 9466, 165
16, 10490, 944, 9546, 209
16, 10220, 945, 9275, 80
16, 10317, 945, 9372, 179
16, 10324, 945, 9379, 107
16, 10419, 945, 9474, 196
16, 10442, 945, 9497, 150
16, 10331, 947, 9384, 160
16, 10379, 947, 9432, 137
16, 10380, 947, 9433, 215
16, 10449, 947, 9502, 201
16, 10649, 947, 9702, 159
16, 10714, 947, 9767, 182
16, 10149, 948, 9201, 125
16, 10342, 948, 9394, 179
16, 10421, 948, 9473, 185
16, 10238, 949, 9289, 96
16, 10310, 949, 9361, 145
16, 10316, 949, 9367, 190
16, 10370, 949, 9421, 168
16, 10432, 950, 9482, 191
16, 10380, 951, 9429, 147
16, 10414, 951, 9463, 141
