Benchmark, Baseline-vsz, Baseline-pss, Baseline-rss, DangSan-vsz, DangSan-pss, DangSan-rss
401.bzip2,888.014,853.066,854.142,525306,868.078,869.161
403.gcc,276.856,113.215,114.34,525039,368.084,369.207
433.milc,711.879,645.876,647.039,525356,842.691,843.874
445.gobmk,67.9531,32.7073,33.8847,524925,255.975,257.16
456.hmmer,87.0935,30.4175,31.6067,524535,60.3489,61.5345
458.sjeng,213.915,178.146,179.271,524634,201.185,202.317
462.libquantum,135.383,70.3691,71.4484,524551,87.7669,88.8538
464.h264ref,67.7974,33.0074,34.2017,524498,57.5882,58.7903
470.lbm,447.902,411.408,412.537,524864,427.159,428.296
482.sphinx3,80.4362,43.0465,44.2548,525158,616.553,617.769
400.perlbench,221.139,186.447,187.634,528206,3011.43,3012.63
444.namd,85.3585,48.9341,50.1214,524505,71.4558,72.6506
447.dealII,652.369,195.181,196.355,527692,1159.19,1160.37
471.omnetpp,188.948,155.277,156.522,534395,7625.38,7626.64
473.astar,372.245,86.416,87.5422,527795,1992.04,1993.17
483.xalancbmk,398.84,317.29,318.452,528119,2813.99,2815.17
