Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
8192, 15835, 9102, 6733, 271
8192, 15311, 9107, 6204, 264
8192, 15686, 9110, 6576, 77
8192, 15405, 9122, 6283, 231
8192, 15143, 9131, 6012, 225
8192, 15616, 9140, 6476, 102
8192, 15304, 9142, 6162, 119
8192, 15782, 9143, 6639, 57
8192, 15908, 9148, 6760, 99
8192, 15463, 9155, 6308, 41
8192, 15177, 9160, 6017, 26
8192, 14768, 9167, 5601, 398
8192, 14870, 9174, 5696, 418
8192, 15702, 9184, 6518, 158
8192, 16163, 9184, 6979, 338
8192, 15285, 9188, 6097, 481
8192, 14642, 9200, 5442, 556
8192, 15845, 9205, 6640, 190
8192, 14516, 9215, 5301, 523
8192, 15874, 9221, 6653, 319
8192, 14740, 9222, 5518, 317
8192, 15551, 9222, 6329, 323
8192, 15692, 9234, 6458, 166
8192, 15170, 9235, 5935, 155
8192, 14504, 9254, 5250, 381
8192, 15244, 9262, 5982, 392
8192, 15444, 9262, 6182, 221
8192, 15726, 9264, 6462, 82
8192, 14953, 9271, 5682, 197
8192, 15060, 9274, 5786, 320
8192, 15415, 9279, 6136, 347
8192, 15293, 9280, 6013, 486
8192, 15106, 9281, 5825, 213
8192, 14805, 9290, 5515, 554
8192, 14904, 9293, 5611, 411
8192, 15821, 9301, 6520, 388
8192, 15363, 9305, 6058, 188
8192, 15276, 9310, 5966, 733
8192, 14665, 9312, 5353, 172
8192, 15628, 9312, 6316, 340
8192, 15121, 9321, 5800, 248
8192, 15472, 9325, 6147, 219
8192, 16428, 9327, 7101, 244
8192, 15718, 9331, 6387, 386
8192, 14791, 9355, 5436, 117
8192, 16292, 9357, 6935, 405
8192, 15939, 9361, 6578, 10
8192, 15331, 9362, 5969, 176
8192, 15434, 9362, 6072, 237
8192, 15837, 9374, 6463, 270
8192, 15795, 9376, 6419, 205
8192, 15531, 9379, 6152, 172
8192, 15505, 9384, 6121, 138
8192, 15606, 9385, 6221, 115
8192, 12689, 9386, 3303, 3288
8192, 14242, 9388, 4854, 125
8192, 15517, 9388, 6129, 182
8192, 16041, 9393, 6648, 147
8192, 15800, 9395, 6405, 93
8192, 14935, 9398, 5537, 252
8192, 15774, 9399, 6375, 430
8192, 15274, 9401, 5873, 116
8192, 15357, 9403, 5954, 492
8192, 16096, 9403, 6693, 80
8192, 15399, 9404, 5995, 179
8192, 12619, 9408, 3211, 248
8192, 15650, 9413, 6237, 187
8192, 15526, 9416, 6110, 379
8192, 15751, 9419, 6332, 410
8192, 15809, 9419, 6390, 162
8192, 15866, 9421, 6445, 284
8192, 15271, 9422, 5849, 340
8192, 15115, 9425, 5690, 130
8192, 15706, 9444, 6262, 407
8192, 14722, 9451, 5271, 297
8192, 15870, 9451, 6419, 134
8192, 14994, 9453, 5541, 124
8192, 16043, 9459, 6584, 595
8192, 15170, 9461, 5709, 282
8192, 15519, 9466, 6053, 226
8192, 14758, 9467, 5291, 184
8192, 15631, 9467, 6164, 387
8192, 15624, 9468, 6156, 113
8192, 15615, 9470, 6145, 398
8192, 15697, 9472, 6225, 222
8192, 16450, 9475, 6975, 43
8192, 15773, 9480, 6293, 363
8192, 15479, 9484, 5995, 331
8192, 15745, 9485, 6260, 234
8192, 9581, 9488, 93, 6463
8192, 15671, 9503, 6168, 177
8192, 15142, 9504, 5638, 557
8192, 15228, 9505, 5723, 105
8192, 15939, 9509, 6430, 232
8192, 14819, 9513, 5306, 135
8192, 14918, 9515, 5403, 455
8192, 15559, 9515, 6044, 314
8192, 15790, 9524, 6266, 210
8192, 15845, 9528, 6317, 311
8192, 15946, 9532, 6414, 279
8192, 15572, 9535, 6037, 371
8192, 15769, 9537, 6232, 645
8192, 15900, 9537, 6363, 293
8192, 15164, 9540, 5624, 264
8192, 16093, 9545, 6548, 78
8192, 16390, 9545, 6845, 365
8192, 15454, 9547, 5907, 185
8192, 15506, 9549, 5957, 464
8192, 15421, 9552, 5869, 96
8192, 14676, 9556, 5120, 448
8192, 14878, 9558, 5320, 140
8192, 15915, 9560, 6355, 381
8192, 15291, 9572, 5719, 129
8192, 15526, 9572, 5954, 201
8192, 15594, 9575, 6019, 211
8192, 15515, 9590, 5925, 114
8192, 15117, 9592, 5525, 170
8192, 15755, 9596, 6159, 462
8192, 15560, 9598, 5962, 257
8192, 15856, 9607, 6249, 299
8192, 15034, 9608, 5426, 481
8192, 16188, 9608, 6580, 630
8192, 15349, 9611, 5738, 343
8192, 16291, 9618, 6673, 219
8192, 16057, 9619, 6438, 311
8192, 15961, 9624, 6337, 420
8192, 16206, 9633, 6573, 155
8192, 15572, 9636, 5936, 403
8192, 15072, 9639, 5433, 601
8192, 15695, 9639, 6056, 479
8192, 16045, 9640, 6405, 119
8192, 15662, 9644, 6018, 156
8192, 15676, 9645, 6031, 459
8192, 15595, 9646, 5949, 411
8192, 15765, 9651, 6114, 243
8192, 13072, 9652, 3420, 271
8192, 15853, 9660, 6193, 313
8192, 15455, 9663, 5792, 355
8192, 13540, 9669, 3871, 204
8192, 14695, 9674, 5021, 513
8192, 15785, 9686, 6099, 441
8192, 15849, 9693, 6156, 298
8192, 15746, 9697, 6049, 336
8192, 15315, 9698, 5617, 200
8192, 15047, 9699, 5348, 301
8192, 15694, 9699, 5995, 279
8192, 15063, 9701, 5362, 569
8192, 15417, 9712, 5705, 458
8192, 15913, 9712, 6201, 42
8192, 14689, 9716, 4973, 233
8192, 16320, 9721, 6599, 78
8192, 15266, 9724, 5542, 516
8192, 15845, 9725, 6120, 300
8192, 16145, 9726, 6419, 299
8192, 15833, 9733, 6100, 510
8192, 16090, 9736, 6354, 485
8192, 16153, 9737, 6416, 335
8192, 15063, 9744, 5319, 276
8192, 15687, 9744, 5943, 312
8192, 15571, 9747, 5824, 152
8192, 15883, 9753, 6130, 98
8192, 14881, 9763, 5118, 217
8192, 15658, 9771, 5887, 408
8192, 15790, 9773, 6017, 261
8192, 15982, 9776, 6206, 365
8192, 15972, 9793, 6179, 565
8192, 15542, 9798, 5744, 78
8192, 15463, 9800, 5663, 127
8192, 15157, 9804, 5353, 263
8192, 16123, 9808, 6315, 342
8192, 15802, 9812, 5990, 161
8192, 15589, 9819, 5770, 87
8192, 15290, 9825, 5465, 377
8192, 15708, 9837, 5871, 314
8192, 16011, 9848, 6163, 385
8192, 15256, 9855, 5401, 372
8192, 15390, 9856, 5534, 326
8192, 16215, 9864, 6351, 146
8192, 15504, 9880, 5624, 445
8192, 15409, 9887, 5522, 133
8192, 15946, 9907, 6039, 6
8192, 15436, 9964, 5472, 287
8192, 14971, 9975, 4996, 221
8192, 15533, 9982, 5551, 187
8192, 16049, 9993, 6056, 355
8192, 15003, 10030, 4973, 108
8192, 15873, 10047, 5826, 66
8192, 16409, 10071, 6338, 291
8192, 16215, 10085, 6130, 487
8192, 15813, 10141, 5672, 368
8192, 11909, 10166, 1743, 3335
8192, 15681, 10199, 5482, 511
8192, 15568, 10265, 5303, 476
8192, 15916, 10280, 5636, 662
8192, 14881, 10358, 4523, 386
8192, 14646, 10398, 4248, 185
8192, 15372, 10411, 4961, 39
8192, 13822, 10444, 3378, 152
8192, 15134, 10454, 4680, 325
8192, 15117, 10455, 4662, 186
8192, 15675, 10475, 5200, 77
8192, 14714, 10501, 4213, 88
8192, 15143, 10540, 4603, 303
8192, 15167, 10563, 4604, 114
8192, 15101, 10665, 4436, 88
8192, 15197, 10682, 4515, 242
8192, 15155, 10784, 4371, 90
8192, 15079, 10812, 4267, 651
8192, 16119, 10841, 5278, 557
8192, 15936, 10856, 5080, 40
8192, 15259, 11017, 4242, 133
8192, 15451, 11018, 4433, 100
8192, 15531, 11028, 4503, 160
8192, 15511, 11060, 4451, 49
8192, 15033, 11132, 3901, 64
8192, 15099, 11179, 3920, 282
8192, 16067, 11401, 4666, 361
8192, 15063, 11482, 3581, 4459
8192, 16739, 11611, 5128, 549
8192, 14212, 12512, 1700, 2117
8192, 14185, 12613, 1572, 736
8192, 16801, 13155, 3646, 304
8192, 15287, 13759, 1528, 2273
8192, 15121, 14352, 769, 11400
8192, 15644, 14540, 1104, 3053
8192, 16281, 15828, 453, 4804
8192, 19892, 18919, 973, 15735
8192, 19630, 19516, 114, 17770
8192, 21831, 21831, 0, 0
8192, 21831, 21831, 0, 0
8192, 23812, 23812, 0, 0
8192, 23815, 23815, 0, 0
8192, 23815, 23815, 0, 0
8192, 23815, 23815, 0, 0
8192, 23815, 23815, 0, 0
